TITLE,COMPANY_NAME,LOCATION,QUALIFICATIONS,SKILLS,JOBTYPE,,,,
Jaddm,Tehnovolt,"Coimbatore, Tamil Nadu", ['MBA | MSW | PGDM | MA | MCOM |BCOM |BBA | BA Skills'],"['Good communication skill.', 'Data science', 'self confidence', 'Machine learning', 'Web development', 'Web designing', 'positive attitude']","['HR INTERN','Part Time']",,,,
Data Science & ML Engineer,Markytics,"Andheri, Mumbai, Maharashtra",,"['Python', 'Building AI models', 'AWS services.', 'Django', 'SQL']",,,,,
Product Executive/Manager - Pharma,Lord's Mark Biotech Pvt. Ltd.,"Andheri, Mumbai, Maharashtra","['B.Sc, B.Pharm, MBA Industry Type: Pharma Job Type', 'Experience: 2-7 years Location']","['B.Pharm.', 'MBA-Marketing.']",['Full-time'],,,,
Data Science & ML Engineer,Markytics,"Andheri, Mumbai, Maharashtra",,"['AWS services.', 'SQL', 'Django', 'Python', 'Building AI models']",,,,,
Data Science Developer,Leeway Softech,"Andheri, Mumbai, Maharashtra",,"['Self Motivated', 'self motivational', 'positive attitude', 'positive Attitude', 'Leadership']",,,,,
Data Scientist,Athos Systems,"Bandra, Mumbai, Maharashtra",,['data mining'],,,,,
Generative AI - ML Engineers,Lilly,"Bengaluru, Karnataka",['3-10 years of production model deployment experience for ML solutions'],"['data preparation', 'Machine Learning systems', 'developing and designing language understanding/generation systems', 'deep learning', 'AWS ML models', 'math', 'AWS architecture', 'SageMaker', 'NLG algorithms', 'Keras', 'gensim', 'scikit-learn', 'data analytics', 'MLOps frameworks', 'AWS', 'Elasticsearch', 'R', 'data science', 'data collection', 'Java', 'leadership', 'PyTorch', 'Eventbridge', 'algorithms', 'Natural Language Understanding(NLU', 'interpersonal skills', 'Kubeflow', 'probability', 'analytical skills', 'analytics tools', 'teamwork', 'ownership', 'machine learning', 'MLOps pipeline', 'Kubernetes', 'Natural Language Generation(NLG', 'CoreNLP', 'Python', 'Agile Development.', 'NLP/NLG frameworks', 'advanced analytics', 'problem-solving', 'MLFlow', 'statistics', 'Highly motivated', 'Docker', 'large-scale data processing', 'Generative AI', 'cloud-based ML solutions', 'DataRobot', 'computationally intensive statistical modeling', 'TensorFlow', 'Natural Language Technology', 'Natural Language Processing(NLP', 'spacy']",,,,,
Application Architect: MuleSoft,IBM,"Bengaluru, Karnataka",['10+ years as an Integration Architect'],"['time management', 'leadership']",,,,,
BI Architect – R01525271,Brillio,"Bengaluru, Karnataka","['Minimum of 8years authoring high performing, reliable, scalable and secure data visualizations']","['relational database design', 'Azure SQL', 'Financial Services', 'Power BI', 'Excel', 'Power Query', 'PowerBI auditing', 'designing database schemas', 'MDX', 'communication skills', 'Azure Synapse', 'DAX', 'Strong SQL knowledge', 'MS SQL Server BI Stack', 'Power BI administration', 'multidimensional database design', 'cloud computing', 'SQL', 'Microsoft CRM', 'understanding of database fundamentals', 'Power App', 'PowerBI']",,,,,
SAP Basis Architect,IBM,"Bengaluru, Karnataka",['At least 8 years of experience in leading Basis Team and Architect/ SME.'],,,,,,
